epoch,train_loss,val_throttle_mse,val_steer_mse
1,0.11245689194886933,0.060530874878168106,0.0005335012101568282
2,0.10062665375784366,0.05028991401195526,0.0005122630973346531
3,0.09764775509816886,0.05302652344107628,0.0008520230767317116
4,0.09483419464887494,0.05557935684919357,0.0006122033228166401
5,0.09303054990211543,0.053819987922906876,0.000778891087975353
6,0.09045737654956879,0.06748316437005997,0.00045804065302945673
7,0.0892318956708386,0.05267340689897537,0.0009836347308009863
8,0.08778701542502772,0.050070926547050476,0.0008108002366498113
9,0.08754643122253626,0.062105391174554825,0.0006210879655554891
10,0.085815421931645,0.05836218595504761,0.0005503395805135369
11,0.08637669536072552,0.05935372784733772,0.0005008488660678267
12,0.08580298416805963,0.06941716372966766,0.00047757112770341337
13,0.08469762454430262,0.05295509472489357,0.0005442492547444999
14,0.08176118331262955,0.05945996940135956,0.0004381205653771758
15,0.08332880271264237,0.047904133796691895,0.0005392141756601632
16,0.08119153215618319,0.05100967362523079,0.0005394589970819652
17,0.07976649171476527,0.06398893147706985,0.0008291928097605705
18,0.0804980302669126,0.05293337628245354,0.00059008679818362
19,0.0794667517832886,0.055990494787693024,0.00046447289059869945
20,0.08017039874043778,0.0627114549279213,0.0006904752808623016
21,0.0788825146638564,0.053886529058218,0.0004642534186132252
22,0.07771223056011826,0.06767481565475464,0.0005255932919681072
23,0.07691339560422294,0.050998490303754807,0.0004344833141658455
24,0.0781851381062011,0.061584822833538055,0.000705766724422574
25,0.07658338750858956,0.04921767860651016,0.00047692639054730535
26,0.07640846701419557,0.05109771341085434,0.0004695789539255202
27,0.07529250244241562,0.06744454801082611,0.0010262808063998818
28,0.07568395042941518,0.05280661955475807,0.0004267852345947176
29,0.07533296120210285,0.04637109860777855,0.00044604678987525403
30,0.07545426681964067,0.05327988415956497,0.0004366062639746815
31,0.07306895782847474,0.05986442789435387,0.0008338999468833208
32,0.07305653022385572,0.04818500578403473,0.0004388251400087029
33,0.07395110599518982,0.04725184291601181,0.0005913929780945182
34,0.07370340764348525,0.06502976268529892,0.00047802820336073637
35,0.07163202277877324,0.04623959958553314,0.00038224051240831614
36,0.07264807119341953,0.04559183493256569,0.000365635147318244
37,0.07201927299569123,0.06175222992897034,0.000618809019215405
38,0.07309322816148002,0.0487479604780674,0.00042320185457356274
39,0.0716090062905257,0.0465112067759037,0.00035592567292042077
40,0.07242298812355728,0.051192909479141235,0.0007675025844946504
41,0.07105921085465274,0.04375511407852173,0.0003780422266572714
42,0.07053562772796101,0.04859088733792305,0.00036865760921500623
43,0.06967804939801965,0.04506463184952736,0.0004369491362012923
44,0.06972160028599185,0.06247227266430855,0.0004238375404383987
45,0.06945405168124359,0.04373228922486305,0.00046923980698920786
46,0.06902856185125898,0.04400651529431343,0.0007532801828347147
47,0.06872880099579656,0.043693698942661285,0.0014120832784101367
48,0.07124532077825853,0.05443643406033516,0.00047046359395608306
49,0.06914355138821614,0.04512447863817215,0.0005428182776086032
50,0.06914015929165258,0.055276237428188324,0.00035748249501921237
51,0.06846321353657112,0.06830177456140518,0.00043220247607678175
52,0.06708271673524757,0.05387156829237938,0.0003270579327363521
53,0.06955279581781722,0.048669129610061646,0.0005274396389722824
54,0.06854277867622618,0.06176852807402611,0.000512158963829279
55,0.06725433602102482,0.045188382267951965,0.0003970357938669622
56,0.06825686576636168,0.05039519816637039,0.0005111399223096669
57,0.06831187925750612,0.04512259364128113,0.0003516357683110982
58,0.06599922933848235,0.046284545212984085,0.0004510789003688842
59,0.06534218262378896,0.04673939570784569,0.0006287209107540548
60,0.06701428597077837,0.043788712471723557,0.0003208070411346853
