epoch,train_loss,val_throttle_mse,val_steer_mse
1,0.6799775346559263,0.23538555204868317,0.01401410810649395
2,0.2566310905735073,0.13497044146060944,0.009540488943457603
3,0.19031592312949952,0.09322381019592285,0.006853253114968538
4,0.14814355842839474,0.08206542581319809,0.005375642329454422
5,0.13214451889903064,0.07344961166381836,0.004242565482854843
6,0.11905822851454662,0.06691936403512955,0.003660414833575487
7,0.11879557004029853,0.06498873233795166,0.0035374353174120188
8,0.10928022257491392,0.06438855081796646,0.0031406558118760586
9,0.1105287748995521,0.06552202999591827,0.0029784045182168484
10,0.10335242616789397,0.06250721216201782,0.0026967874728143215
11,0.10648810631579521,0.08400598913431168,0.002606961876153946
12,0.10044706653615357,0.06271685659885406,0.0024959698785096407
13,0.10083023726956702,0.06929054111242294,0.0023850828874856234
14,0.09648091262542559,0.0677332729101181,0.0032528380397707224
15,0.09503694745499448,0.06653743982315063,0.0028879933524876833
16,0.09377819236651319,0.0727190375328064,0.0022916297893971205
17,0.09424013881336511,0.06268323957920074,0.0022054407745599747
18,0.09050068066955473,0.058326203376054764,0.0021152773406356573
19,0.09243064769799679,0.058571163564920425,0.0028235309291630983
20,0.08829979613415073,0.06520646810531616,0.00213123788125813
21,0.08593218199151678,0.06122220307588577,0.0021908816415816545
22,0.08864682702836826,0.05996740981936455,0.0019472541753202677
23,0.08728675260304214,0.05855690687894821,0.001957267988473177
24,0.08662786744141962,0.0642976462841034,0.0019019640749320388
25,0.0838405629732687,0.05587138235569,0.0018721537198871374
26,0.08426697667417163,0.05830901116132736,0.0021539852023124695
27,0.08390631499322238,0.055260613560676575,0.0019794274121522903
28,0.080142611469546,0.05490501597523689,0.0017422818345949054
29,0.0837989185383954,0.055307455360889435,0.0017115295631811023
30,0.08025146725275727,0.05837566778063774,0.0022942982614040375
31,0.08063817622180385,0.05882961302995682,0.001782851293683052
32,0.07683636488962808,0.05450981855392456,0.0016381200402975082
33,0.07987856816154994,0.058149054646492004,0.001693136990070343
34,0.07684547964117383,0.054196231067180634,0.0015994813293218613
35,0.0775392452448292,0.053623784333467484,0.001583929406479001
36,0.07338592506932723,0.056895043700933456,0.0017102562123909593
37,0.07329665652658793,0.05317767709493637,0.0016479836776852608
38,0.07507672941995819,0.052049219608306885,0.001835500355809927
39,0.07739200124073399,0.06128080561757088,0.001492971321567893
40,0.07313534662805948,0.053498148918151855,0.0016221724217757583
41,0.07474813788533542,0.07439391314983368,0.0014629692304879427
42,0.07598574166162883,0.051378194242715836,0.0017412489978596568
43,0.07180431666455621,0.05244161933660507,0.001397171407006681
44,0.07146154654764057,0.056881122291088104,0.0014497117372229695
45,0.07119235420131075,0.05179114267230034,0.001475462457165122
46,0.07224867900979313,0.05738694220781326,0.0015854096272960305
47,0.06714106918225217,0.0508047454059124,0.0013604070991277695
48,0.06986099406787252,0.051686957478523254,0.001351997721940279
49,0.06718486011160671,0.06785815954208374,0.0013390384847298265
50,0.06827918293077637,0.0496160164475441,0.0013996660709381104
51,0.06681715166697828,0.05411840230226517,0.0016941233770921826
52,0.06547203013908194,0.057448942214250565,0.0014168984489515424
53,0.06719877853666922,0.05158771201968193,0.0015630443813279271
54,0.06414396809925972,0.0670783743262291,0.0016140806255862117
55,0.06568100633040724,0.05425947532057762,0.0012443724554032087
56,0.06744923007398894,0.048917707055807114,0.0012573146959766746
57,0.06426477514658287,0.056640155613422394,0.0012262166710570455
58,0.061365044735028705,0.04929322004318237,0.0012828336330130696
59,0.06186087872090438,0.058743152767419815,0.001352509600110352
60,0.061733807124474654,0.04869791865348816,0.0011835683835670352
61,0.06344383718411768,0.06415969878435135,0.0017162187723442912
62,0.06289588665876171,0.04620709270238876,0.0012847111793234944
63,0.0594028654663944,0.05410955101251602,0.0011845083208754659
64,0.062114146522255095,0.055924467742443085,0.0012780020479112864
65,0.061246874641786346,0.044737204909324646,0.001122702844440937
66,0.06027665600792889,0.058077890425920486,0.0015670506982132792
67,0.059746954051042384,0.050714682787656784,0.002380956197157502
68,0.06057589648706194,0.045014917850494385,0.0011520643020048738
69,0.05666878322787843,0.04506893828511238,0.001046753372065723
70,0.05893920792731095,0.05229809880256653,0.001088067190721631
71,0.059473051507230736,0.04896688461303711,0.0011991485953330994
72,0.054899809869013515,0.04715868458151817,0.0013611126923933625
73,0.05810973839022463,0.06186525523662567,0.0011048826854676008
74,0.062833154790604,0.0629328191280365,0.0010048339609056711
75,0.05955548992774541,0.042791422456502914,0.0010325348703190684
76,0.05365616907962887,0.04270823299884796,0.0010105029214173555
77,0.05364477166420946,0.042766883969306946,0.0008893776684999466
78,0.05399592743771795,0.04247162118554115,0.0012084842892363667
79,0.05407634568108512,0.042146626859903336,0.0008869047742336988
80,0.05500385113627231,0.043457165360450745,0.0008837010245770216
