critic_loss,actor_loss,alpha_loss,alpha,global_step,buffer_size
1.4786356687545776,-1.357060432434082,-0.0,0.9997000694274902,1000.0,1000.0
1.3431917428970337,-1.3870768547058105,-0.0010097146732732654,0.9994001388549805,1004.0,1004.0
1.3036590814590454,-1.3805646896362305,-0.0020065228454768658,0.999100387096405,1008.0,1008.0
1.3147668838500977,-1.3906078338623047,-0.0030032384674996138,0.9988007545471191,1012.0,1012.0
1.214787483215332,-1.4328522682189941,-0.0040384638123214245,0.998501181602478,1016.0,1016.0
1.0834522247314453,-1.4270427227020264,-0.005014847964048386,0.9982017278671265,1020.0,1020.0
1.0344951152801514,-1.4683988094329834,-0.006065067835152149,0.9979022145271301,1024.0,1024.0
0.9821854829788208,-1.482245922088623,-0.007072013802826405,0.9976028203964233,1028.0,1028.0
0.9288491010665894,-1.481054663658142,-0.008035398088395596,0.9973034858703613,1032.0,1032.0
0.9354363679885864,-1.5031661987304688,-0.00906470324844122,0.9970043301582336,1036.0,1036.0
0.814428985118866,-1.5378005504608154,-0.010127725079655647,0.9967051148414612,1040.0,1040.0
0.7814286947250366,-1.5476608276367188,-0.011118713766336441,0.9964059591293335,1044.0,1044.0
0.7437551617622375,-1.5620222091674805,-0.012119552120566368,0.9961068630218506,1048.0,1048.0
0.803031325340271,-1.5736908912658691,-0.013107091188430786,0.9958078861236572,1052.0,1052.0
0.6711056232452393,-1.604203462600708,-0.014180525206029415,0.9955089092254639,1056.0,1056.0
0.5924067497253418,-1.6366671323776245,-0.015251216478645802,0.9952099323272705,1060.0,1060.0
0.6206541061401367,-1.6211787462234497,-0.016116470098495483,0.9949111342430115,1064.0,1064.0
0.547711968421936,-1.6566390991210938,-0.01721007563173771,0.9946123957633972,1068.0,1068.0
0.5399839878082275,-1.6767160892486572,-0.01823933608829975,0.994313657283783,1072.0,1072.0
0.5095199346542358,-1.7089167833328247,-0.01930953562259674,0.9940149188041687,1076.0,1076.0
0.512231171131134,-1.6964912414550781,-0.02016538381576538,0.9937164187431335,1080.0,1080.0
0.43043750524520874,-1.715842604637146,-0.021176714450120926,0.9934180378913879,1084.0,1084.0
0.41904664039611816,-1.7524031400680542,-0.02229059673845768,0.9931196570396423,1088.0,1088.0
0.32459986209869385,-1.7647202014923096,-0.023242011666297913,0.992821455001831,1092.0,1092.0
0.3308175206184387,-1.7897512912750244,-0.024295680224895477,0.9925233125686646,1096.0,1096.0
0.2765628397464752,-1.799716591835022,-0.025256073102355003,0.9922252893447876,1100.0,1100.0
0.26561546325683594,-1.8151556253433228,-0.026220593601465225,0.991927444934845,1104.0,1104.0
0.27008312940597534,-1.8488972187042236,-0.027338864281773567,0.9916296005249023,1108.0,1108.0
0.2211543768644333,-1.8389053344726562,-0.028064820915460587,0.9913320541381836,1112.0,1112.0
0.2313607782125473,-1.8770999908447266,-0.02920500934123993,0.9910346865653992,1116.0,1116.0
0.20479820668697357,-1.899172067642212,-0.03022458776831627,0.9907374382019043,1120.0,1120.0
0.1932257115840912,-1.9080674648284912,-0.03107364848256111,0.9904404878616333,1124.0,1124.0
0.14563676714897156,-1.941380262374878,-0.032208096235990524,0.9901435971260071,1128.0,1128.0
0.11497269570827484,-1.9727847576141357,-0.03329412266612053,0.9898467659950256,1132.0,1132.0
0.11421369016170502,-2.007596969604492,-0.034448858350515366,0.989549994468689,1136.0,1136.0
0.14346757531166077,-2.0107126235961914,-0.035311952233314514,0.9892532229423523,1140.0,1140.0
