critic_loss,actor_loss,alpha_loss,alpha,global_step,buffer_size
1.5094239711761475,-1.3645684719085693,-0.0,0.9997000694274902,1000.0,1000.0
1.3924853801727295,-1.3968768119812012,-0.0010093724122270942,0.9994001388549805,1004.0,1004.0
1.3388147354125977,-1.3946276903152466,-0.0020103049464523792,0.9991003274917603,1008.0,1008.0
1.3506674766540527,-1.393807291984558,-0.003000114345923066,0.9988006949424744,1012.0,1012.0
1.2704962491989136,-1.4323784112930298,-0.004031073767691851,0.9985011219978333,1016.0,1016.0
1.1633139848709106,-1.4333466291427612,-0.005018850788474083,0.9982016682624817,1020.0,1020.0
1.124927043914795,-1.469618558883667,-0.006065696943551302,0.9979021549224854,1024.0,1024.0
1.0670628547668457,-1.4806358814239502,-0.0070648230612277985,0.9976027607917786,1028.0,1028.0
0.9964081645011902,-1.4756286144256592,-0.008027821779251099,0.9973034262657166,1032.0,1032.0
1.0247249603271484,-1.4954417943954468,-0.009050657972693443,0.9970042705535889,1036.0,1036.0
0.9069122076034546,-1.5317540168762207,-0.010126404464244843,0.9967050552368164,1040.0,1040.0
0.8426264524459839,-1.5336130857467651,-0.011085164733231068,0.9964059591293335,1044.0,1044.0
0.8073298931121826,-1.5550593137741089,-0.012118445709347725,0.9961069226264954,1048.0,1048.0
0.858140230178833,-1.5658752918243408,-0.013118874281644821,0.995807945728302,1052.0,1052.0
0.738405704498291,-1.5976076126098633,-0.014194028452038765,0.9955089688301086,1056.0,1056.0
0.6981714963912964,-1.6181669235229492,-0.015218295156955719,0.9952099919319153,1060.0,1060.0
0.7294257879257202,-1.6066124439239502,-0.01610426977276802,0.9949111938476562,1064.0,1064.0
0.6383161544799805,-1.6446290016174316,-0.01722666248679161,0.9946123957633972,1068.0,1068.0
0.6561448574066162,-1.6620322465896606,-0.018269890919327736,0.994313657283783,1072.0,1072.0
0.6246716976165771,-1.6815259456634521,-0.01927594095468521,0.9940149188041687,1076.0,1076.0
0.6202331185340881,-1.6781327724456787,-0.020179295912384987,0.993716299533844,1080.0,1080.0
0.48731693625450134,-1.6925615072250366,-0.021184559911489487,0.9934178590774536,1084.0,1084.0
0.5306977033615112,-1.724072813987732,-0.022282220423221588,0.993119478225708,1088.0,1088.0
0.4167632460594177,-1.735865592956543,-0.023263035342097282,0.992821216583252,1092.0,1092.0
0.40417683124542236,-1.7573645114898682,-0.02429462969303131,0.9925230145454407,1096.0,1096.0
0.3789696991443634,-1.7695168256759644,-0.025271963328123093,0.9922248721122742,1100.0,1100.0
0.3515831232070923,-1.7789700031280518,-0.026229240000247955,0.9919269680976868,1104.0,1104.0
0.34896767139434814,-1.8119547367095947,-0.027340149506926537,0.9916290640830994,1108.0,1108.0
0.3045811057090759,-1.798649549484253,-0.02806628867983818,0.9913314580917358,1112.0,1112.0
0.2938011586666107,-1.8321653604507446,-0.02921576239168644,0.9910340309143066,1116.0,1116.0
0.27935877442359924,-1.850520372390747,-0.030248694121837616,0.9907366633415222,1120.0,1120.0
0.26492178440093994,-1.857621192932129,-0.031067218631505966,0.9904395937919617,1124.0,1124.0
0.19929561018943787,-1.8899967670440674,-0.03224121034145355,0.9901426434516907,1128.0,1128.0
0.19219595193862915,-1.9141696691513062,-0.03329242765903473,0.9898457527160645,1132.0,1132.0
0.16854308545589447,-1.9497053623199463,-0.03444630652666092,0.9895488619804382,1136.0,1136.0
0.1941613405942917,-1.9513676166534424,-0.035316575318574905,0.9892520904541016,1140.0,1140.0
0.15269124507904053,-1.9644191265106201,-0.03626713156700134,0.9889553785324097,1144.0,1144.0
0.12218831479549408,-1.9998955726623535,-0.03742816671729088,0.9886587262153625,1148.0,1148.0
0.1234111487865448,-2.024350643157959,-0.038518697023391724,0.9883620738983154,1152.0,1152.0
0.07590243965387344,-2.0271363258361816,-0.039364494383335114,0.9880655407905579,1156.0,1156.0
0.08816811442375183,-2.0360331535339355,-0.04026336967945099,0.9877691268920898,1160.0,1160.0
0.08965418487787247,-2.0617377758026123,-0.04132520407438278,0.9874728322029114,1164.0,1164.0
0.10735943913459778,-2.0717039108276367,-0.04226791858673096,0.9871767163276672,1168.0,1168.0
